Species,Family,Growthform,EveDec,LeafType,Location,Garden,MAT,MAP,Biomes,Contributor,LMAdisc,LMAleaf,LDdisc,LDleaf,LDMCdisc,LDMCleaf,LTleaf,LTdisc,LAleaf
Nephelium chryseum,Sapindaceae,T,E,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,78.30816548787934,84.85117019500001,0.46385955133333334,0.5469116581666666,0.5012579285,0.4339420975,0.15438888866666667,0.159111111,41.64833333333333
Glochidion puberum,Phyllanthaceae,S,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,67.77432596720519,47.30070466833333,0.34069040633333336,0.2513260815,0.46813738450000003,0.296704914,0.18861111116666668,0.191611111,79.538
Phoebe lanceolata,Lauraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,55.849224628079796,72.64524461666667,0.3831061998333333,0.5012432325,0.454077056,0.428108359,0.14516666666666667,0.13733333316666665,41.9935
Poikilospermum suaveolens,Urticaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,39.154082744823114,42.71811529166666,0.14566714783333334,0.18822438966666666,0.20000148016666666,0.1320015185,0.22322222233333333,0.25294444450000003,171.22066666666666
Alnus cremastogyne,Betulaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,81.88569588979364,85.466171195,0.3933978501666667,0.4467804455,0.4409303245,0.415581,0.1914444445,0.19627777800000001,51.493833333333335
Heteropanax fragrans,Araliaceae,T,E,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,93.01579047627555,92.86177063166667,0.351218184,0.3605539073333333,0.4626234421666667,0.381184699,0.25761111133333336,0.24972222233333335,26.003666666666668
Baccaurea ramiflora,Phyllanthaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,66.78056752242532,63.109309805,0.23880310066666668,0.2367505195,0.37364009766666667,0.23187869933333333,0.26677777783333334,0.265388889,96.30766666666666
Symplocos cochinchinensis,Symplocaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,108.31967053047956,135.67746651166667,0.3460086748333333,0.43469749766666665,0.3832663525,0.40593560133333334,0.31105555566666665,0.29511111116666666,69.07316666666667
Canthium simile,Rubiaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,76.51940028868908,95.23955517333333,0.3392915995,0.40103117033333335,0.4458160758333333,0.38958370166666667,0.23672222216666666,0.217111111,29.177500000000002
Celtis timorensis,Cannabaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,118.8535100546875,118.90982622166666,0.3984170436666667,0.4341700373333333,0.3990445756666667,0.44538701533333336,0.27127777766666666,0.28150000000000003,54.66116666666667
Balakata baccata,Euphorbiaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,68.17182934794418,77.72431224666667,0.321493021,0.40690607666666667,0.377875058,0.33108991,0.19033333316666667,0.19972222233333334,90.52783333333333
Lithocarpus grandifolius,Fagaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,111.69844923849057,119.75470513333333,0.40577211583333334,0.4737120805,0.6660755086666668,0.4639050445,0.2533888888333333,0.25983333350000004,223.81066666666666
Cinnamomum bejolghota,Lauraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,108.91592559805426,123.89465108333333,0.31882709033333334,0.375946324,0.44989947233333333,0.4116077201666667,0.329722222,0.3226111111666667,82.18633333333334
Cinnamomum tenuipile,Lauraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,89.23950838575865,91.976977575,0.46954057816666667,0.5202292958333333,0.45266403983333336,0.4347334535,0.17733333333333334,0.1795555555,52.5375
Elaeocarpus sylvestris,Elaeocarpaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,84.66821953729756,75.10028966166666,0.4697832436666667,0.44017987133333336,0.507606829,0.370114393,0.17072222233333334,0.17061111133333334,48.493833333333335
Drypetes hoaensis,Putranjivaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,72.14686312706368,73.725405075,0.441496402,0.44262969533333335,0.5260776698333334,0.44194245283333333,0.16611111116666666,0.1544444445,12.908833333333334
